,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
2283,An autoencoder based approach to simulate sports games,2.0,18.76,6.0,17.07
2284,Methods and techniques to improve international learning experiences online,0.0,35.81,4.0,12.8
2285,Balancing personal privacy and public safety during COVID-19: The case of South Korea,4.0,20.69,3.0,18.55
2286,What are we depressed about when we talk about COVID-19: Mental health analysis on tweets using natural language processing,5.0,32.27,6.0,20.68
2287,Virtual Platforms for Government Services in COVID-19 and Beyond: A Sociomaterial Case Study of Passport Service in Ghana,6.0,29.31,0.0,22.32
2288,An Exploratory Study of Twitter Sentiment Analysis During COVID-19: #TravelTomorrow and #UNWTO,6.0,33.65,5.0,32.5
2289,Performance analysis of elliptic curves for VoIP audio encryption using a softphone,3.0,28.05,5.0,20.25
2290,Information Diffusion for Real Time Resource Planning During Crisis Leveraging Emerging Digital Technologies,6.0,32.82,3.0,20.09
2291,Health Fear Mongering Make People More Sicker: Twitter Analysis in the Context of Corona Virus Infection,6.0,35.16,5.0,27.04
2292,A Study on SARS-CoV-2 (COVID-19) and Machine Learning Based Approach to Detect COVID-19 through X-Ray Images,1.0,29.47,2.0,23.24
2293,"Segmentation of lungs, lesions, and lesion types on chest CT scans of patients with covid-19",1.0,38.57,2.0,14.16
2294,Design Space Exploration for Aerospace IoT Products,6.0,34.55,3.0,18.05
2295,Working from Home During Covid-19: How Do We ‘Do’ Social Interaction at a Distance?,6.0,22.85,0.0,17.66
2296,Reviewing the contributing factors and benefits of distributed collaboration,6.0,27.05,0.0,15.0
2297,Using internet as a solution for sales in COVID-19 pandemic: E-commerce,6.0,28.41,3.0,17.76
2298,A real-time robot-based auxiliary system for risk evaluation of COVID-19 infection,3.0,29.9,1.0,27.37
2299,Does Herding Behaviour Among Traders Increase During Covid 19 Pandemic? Evidence from the Cryptocurrency Market,6.0,40.03,2.0,12.57
2300,Do face masks introduce bias in speech technologies? The case of automated scoring of speaking proficiency,1.0,27.37,0.0,17.2
2301,A Review of Information Security Aspects of the Emerging Covid-19 Contact Tracing Mobile Phone Applications,3.0,28.7,6.0,21.13
2302,Modeling of UV disinfection irradiation installations using computer graphics programs,2.0,16.99,3.0,15.6
2303,Social Media and Public Health Emergency of International Concern: The COVID-19 Outbreak,6.0,38.49,4.0,11.44
2304,Visualization of the dynamics of changes in structured data by the example of covid-19 development,5.0,36.56,2.0,18.74
2305,Australian Attitudes Towards Privacy of Information: Will COVID-19 Make a Difference?,6.0,27.29,3.0,20.08
2306,"Rethinking democracy in the “pandemic society” a journey in search of the governance with, of and by AI",6.0,41.39,3.0,15.77
2307,"An early study on intelligent analysis of speech under COVID-19: Severity, sleep quality, fatigue, and anxiety",1.0,21.06,4.0,19.08
2308,Burst Detection in Social Media Communities,6.0,20.99,1.0,16.43
2309,"Coswara - A database of breathing, cough, and voice sounds for COVID-19 diagnosis",1.0,29.18,5.0,21.46
2310,Emerging Technologies and Emergent Workplaces: Findings from an Ethnographic Study at an Indian IT Organization,6.0,39.45,3.0,13.64
2311,“Algocracy”: The decline of representative democracy,6.0,24.62,0.0,20.55
2312,Infectious dynamics in urban 3d-environment: Challenges and possibilities,4.0,21.83,2.0,16.25
2313,A comparison of acoustic and linguistics methodologies for Alzheimer's dementia recognition,1.0,31.89,3.0,16.43
2314,Emerging complexity in distributed intelligent systems,2.0,26.41,3.0,17.92
2315,A Usability Analysis on the Development of Caregiver Assessment Using Serious Gaming Technology (CAST) Version 2.0: A Research Update,0.0,22.72,3.0,19.99
2316,Readiness towards emergency shifting to remote learning during COVID-19 pandemic among university instructors,0.0,44.86,6.0,16.82
2317,Innovation intelligence and its role in environmental uncertainty management: a conceptual framework,6.0,34.31,5.0,18.31
2318,LSTM based Emotion Detection using Physiological Signals: IoT framework for Healthcare and Distance Learning in COVID-19,3.0,31.7,1.0,18.83
2319,"Data management, semantics and personal health apps for staying safe in COVID-19",6.0,21.74,3.0,20.41
2320,Nonparametric Model Prediction for Intelligent Regulation of Human Cardiorespiratory System to Prescribed Exercise Medicine,3.0,24.19,2.0,16.74
2321,Drug ontology for the public mexican health system,2.0,24.69,5.0,17.95
2322,Blockchain-Based Solution for COVID-19 Digital Medical Passports and Immunity Certificates,3.0,31.26,1.0,13.7
2323,Immune Plasma Algorithm: A Novel Meta-heuristic for Optimization Problems,1.0,27.92,2.0,26.21
2324,South Korea as the Role Model for Covid-19 Policies? An Analysis of the Effect of Government Policies on Infection Chain Structures,4.0,27.21,6.0,21.0
2325,YOLOv3-based mask and face recognition algorithm for individual protection applications,1.0,34.68,3.0,18.76
2326,Reducing the psychological burden of isolated oncological patients by means of decision trees,3.0,28.24,2.0,17.22
2327,Short-term statistical forecasts of COVID-19 infections in India,4.0,40.19,6.0,16.93
2328,A MDE Approach for Modelling and Distributed Simulation of Health Systems,4.0,21.15,3.0,18.2
2329,"Self-assessment of educational results in students who prefer computers, laptops or smartphones as educational tools for distance learning (in the situation of forced transition to distance learning due to the COVID-19 pandemic)",0.0,53.48,4.0,10.55
2330,The barriers towards the adoption of e-wallet payment system,6.0,31.52,0.0,15.84
2331,"#AndràTuttobene: Images, texts, emojis and geodata in a sentiment analysis pipeline",5.0,28.12,6.0,16.53
2332,Markets for Efficient Public Good Allocation with Social Distancing,3.0,25.51,6.0,20.22
2333,ItaGLAM: A corpus of cultural communication on twitter during the pandemic,5.0,30.89,1.0,14.15
2334,Solidarity business model for micro-businesses that allows economic reactivation due to COVID-19 in Colombia,6.0,28.76,0.0,19.12
2335,Conducting an enterprise social media initiative in the digital transformation context,6.0,32.58,0.0,17.25
2336,Does losing jobs during COVID-19 pandemic affect the knowledge management in businesses?,6.0,38.39,5.0,13.8
2337,Leadership readiness in crisis context: Health preservation through shared knowledge,6.0,35.7,0.0,15.8
2338,Robotics and artificial intelligence (R&Ai) perceptions of consumers and producers: An international comparison among Portugal and Spain,6.0,26.14,5.0,20.67
2339,Building Agility in Health Information Systems to Respond to the COVID-19 Pandemic: The Sri Lankan Experience,6.0,24.09,5.0,22.45
2340,Holding ICDEc 2020 Fully Online: Driving Principles and Key Decisions,0.0,35.01,6.0,15.79
2341,Designing an Online Dungeons & Dragons Experience for Primary School Children,0.0,32.24,6.0,16.23
2342,‘Like 9/11 on steroids’: AI in the age of coronavirus,6.0,24.92,3.0,23.78
2343,Riskscapes and the Scaling of Digital Innovation: Trajectory Dynamics of Mobile Payments in Times of Crisis,6.0,34.92,5.0,12.4
2344,Exploring forgotten knowledge to enhance effective knowledge deliver in aid organisations,6.0,36.9,5.0,16.09
2345,Adaptive bayesian learning and forecasting of epidemic evolution-data analysis of the COVID-19 outbreak,4.0,41.31,3.0,13.1
2346,Flow Experience and Situational Interest in an Adaptive Math Game,0.0,22.48,6.0,21.99
2347,Rapid Systems Response to COVID-19: Standards Disseminated as Digital Health Packages,6.0,23.48,3.0,18.66
2348,Generation Z: Social media as a tool for education,6.0,38.47,0.0,18.87
2349,Modding tabletop games for alignment with state standards: Developing the geographic literacy of elementary level learners,0.0,42.62,6.0,16.04
2350,Are you a great negotiator? Game-based learning of 21st century negotiation skills in the Netherlands and Japan,0.0,25.5,6.0,21.38
2351,An automated recruiting model for an optimal team of software engineers from global freelancing platforms,0.0,21.18,6.0,20.67
2352,Gamification of strategic thinking: A COTS boardgame for learning strategy development and strategy implementation (COVID-19 improvised online facilitation),0.0,42.12,5.0,13.49
2353,Model predictive control to mitigate the COVID-19 outbreak in a multi-region scenario,4.0,40.24,6.0,14.0
2354,Prediction of covid-19 using genetic deep learning convolutional neural network (GDCNN),1.0,58.95,3.0,8.33
2355,E-Learning resulting from Covid-19 pandemic: A conceptual study from a developing country perspective,0.0,31.07,6.0,27.22
2356,Educational disruption & rising faculty expectations,0.0,40.91,6.0,20.15
2357,An exploratory analysis of alarming and reassuring messages in twitterverse during the coronavirus (Covid-19) epidemic,5.0,33.07,6.0,17.67
2358,A recent origin of Orf3a from M protein across the coronavirus lineage arising by sharp divergence,2.0,49.76,1.0,11.36
2359,How to design learning applications that support learners in their moment of need ? didactic requirements of micro learning,0.0,37.97,6.0,16.52
2360,A parametrized nonlinear predictive control strategy for relaxing COVID-19 social distancing measures in Brazil,4.0,42.3,6.0,13.35
2361,Mining of Social Media on Covid-19 Big Data Infodemic in Indonesia,5.0,36.54,6.0,17.49
2362,Analysis and Prediction of Player Population Changes in Digital Games During the COVID-19 Pandemic,6.0,24.47,5.0,21.82
2363,The Financial Viability of eHealth and mHealth,3.0,35.6,2.0,16.09
2364,MVFNN: Multi-Vision Fusion Neural Network for Fake News Picture Detection,1.0,38.54,5.0,23.54
2365,Vision: A Critique of Immunity Passports and W3C Decentralized Identifiers,3.0,31.01,2.0,14.36
2366,Portfolio Rankings on Social Trading Platforms in Uncertain Times,6.0,33.6,2.0,17.67
2367,Research on intelligent prevention and control of COVID-19 in China's urban rail transit based on artificial intelligence and big data,3.0,27.78,5.0,17.95
2368,The strategy as perspective for the integration of technology in education,0.0,49.54,6.0,12.85
2369,Vision tracking based on adaptive interactive fusion,1.0,33.87,3.0,16.04
2370,Online education during the COVID19 pandemic: Perceptions and expectations of romanian students,0.0,54.1,3.0,11.4
2371,Quality evaluation of practical training of innovative and entrepreneurial talents in universities based on statistical learning theory after COVID-19 epidemic,1.0,21.91,0.0,21.43
2372,3D virtual visual plane design method based on ordered point sequence under the influence of COVID-19,2.0,18.73,3.0,16.61
2373,Suddenly eLearning: A qualitative study of university students during COVID-19,0.0,44.87,3.0,11.65
2374,Color recognition of design object of manual decoration element based on convolution neural network under the impact of COVID-19,1.0,37.78,3.0,13.57
2375,Eco-tourism benefit evaluation of Yellow River based on principal component analysis,5.0,24.47,6.0,19.33
2376,Comparison of traditional and online education in Bhutan,0.0,52.34,3.0,15.51
2377,An information security analysis method of Internet of things based on balanced double SVM,3.0,30.97,1.0,22.27
2378,How higher education adapted to online teaching at aalborg university after COVID-19: Experiences and perspectives,0.0,52.14,6.0,14.3
2379,Big data analysis and empirical research on the financing and investment decision of companies after COVID-19 epidemic situation based on deep learning,1.0,21.29,6.0,21.08
2380,Applications of virtual reality modeling language technology for COVID-19 pandemic,0.0,23.24,1.0,18.02
2381,Social Media and Trust in Scientific Expertise: Debating the Covid-19 Pandemic in The Netherlands,6.0,37.93,5.0,17.72
2382,Big data audit based on financial sharing service model,5.0,28.82,3.0,19.14
2383,The impact of COVID-19 on the protection of rural traditional village,6.0,24.97,3.0,17.66
2384,Economic benefit of shale gas exploitation based on back propagation neural network,5.0,20.48,1.0,20.0
2385,Activity of estonian facebook group during transition to e-learning due to COVID-19,0.0,34.2,6.0,16.14
2386,Crisis remote education at the maria grzegorzewska university during social isolation in the opinions of students,0.0,28.94,2.0,17.35
2387,A management of early warning and risk control based on data fusion for COVID-19,1.0,21.78,5.0,20.5
2388,How can agility sustain a change of mindset in education?,0.0,51.02,6.0,11.48
2389,Traditional village protection based on big data under the impact of COVID-19,3.0,22.89,5.0,19.8
2390,Development of sports industry under the influence of COVID-19 epidemic situation based on big data,5.0,29.88,6.0,24.03
2391,Teaching online during a pandemic: Pedagogical skills transfer from face to face support to online synchronous support provision,0.0,55.89,3.0,8.48
2392,A fuzzy control system for fitness service based on genetic algorithm during COVID-19 pandemic,3.0,28.91,5.0,16.48
2393,How to increase knowledge retention in elearning during Covid-19 pandemic?,0.0,43.17,6.0,14.24
2394,Virtual technology of cache and real-time big data distribution in cloud computing big data center,5.0,25.61,3.0,23.77
2395,Permission and content management model based on ASP.NET technology and three-layer network architecture,3.0,27.85,5.0,20.95
2396,Embedding linkedin learning MOOCs to enhance students' educational experience and employability,0.0,48.85,5.0,16.88
2397,Research on behavior recognition based on feature fusion of automatic coder and recurrent neural network,1.0,30.27,3.0,14.86
2398,Pattern recognition of decorative elements based on neural network,1.0,28.06,5.0,17.07
2399,Data visualization and data fusion on the visual performance of illustration,5.0,39.89,1.0,19.83
2400,Application of feature extraction method based on support vector machine in Internet of things,1.0,26.77,3.0,25.87
2401,Energy conversion path and optimization model in COVID-19 under low carbon constraints based on statistical learning theory,3.0,20.43,6.0,16.54
2402,Application of semantic location awareness computing based on data mining in COVID-19 prevention and control system,5.0,27.1,4.0,21.13
2403,Fault diagnosis of high power grid wind turbine based on particle swarm optimization BP neural network during COVID-19 epidemic period,1.0,43.98,4.0,14.69
2404,Towards hybrid learning in higher education in the wake of the COVID-19 crisis,0.0,37.05,6.0,19.11
2405,Multi-objective robust design of vehicle structure based on multi-objective particle swarm optimization,1.0,34.23,3.0,18.63
2406,Security design and application of Internet of things based on asymmetric encryption algorithm and neural network for COVID-19,1.0,28.95,3.0,22.98
2407,Emergency remote learning in the times of covid: A higher education innovation strategy,0.0,43.25,6.0,17.17
2408,An ad-hoc network routing algorithm based on improved neural network under the influence of COVID-19,1.0,28.46,3.0,25.41
2409,The evaluation model of reconstruction effect of ancient villages under the influence of epidemic situation based on big data,5.0,26.42,3.0,19.72
2410,Blood oxygenation among healthy adults: Recurrence plots analysis and quantification,5.0,17.99,3.0,17.17
2411,Test-run: Mediating changes to online assessment practices in a teacher education setting,0.0,43.01,6.0,19.7
2412,Application of intelligent virtual reality technology in Clothing virtual wear and color saturation after COVID-19 epidemic situation,3.0,26.18,1.0,17.14
2413,Microbial control of river pollution during COVID-19 pandemic based on big data analysis,4.0,26.45,5.0,19.8
2414,Problems and ways of forming the educational strategy of students in the process of remote learning,0.0,49.26,5.0,14.23
2415,Opinion of students on online education during the COVID-19 pandemic,0.0,50.89,6.0,12.99
2416,Oil painting algorithm based on aesthetic criteria of genetic algorithm during COVID-19,1.0,19.2,6.0,17.23
2417,Covid-19 mis-infodemic: Reinventing social media platforms as trustworthy health messaging and learning tools,6.0,39.01,5.0,14.85
2418,Application of fuzzy intelligent reasoning method in art color measurement,5.0,23.66,1.0,22.68
2419,#FeministAntibodies: Asian American Media in the Time of Coronavirus,6.0,32.46,0.0,14.16
2420,Integration of urban-rural planning and human geography for online education under the impact of COVID-19,0.0,33.75,3.0,15.39
2421,The new bud light steel system and the geometric shape evolution of light steel framework for COVID-19 patients appointed hospital (Huoshenshan hospital),3.0,29.24,4.0,16.05
2422,Network security defense model based on firewall and IPS,3.0,25.31,1.0,20.51
2423,Students perception on group workshops: A comparison between campus-based and online workshops,0.0,55.58,1.0,8.88
2424,Narratively driven educational experiences in remote learning scenarios,0.0,49.3,6.0,11.75
2425,An improved particle swarm optimization algorithm in selection of e-commerce distribution center,1.0,24.89,3.0,18.65
2426,Responses of Russian universities to the challenges of Covid-19 pandemic,0.0,40.94,6.0,19.14
2427,Evaluation model of art internal auxiliary teaching quality based on artificial intelligence under the influence of COVID-19,1.0,28.58,0.0,21.48
2428,Translation of news reports related to COVID-19 of Japanese Linguistics based on page link mining,5.0,39.89,1.0,14.93
2429,Prediction and comparison of the impact of COVID-19 epidemic on the financial industry of major countries based on neural intelligent algorithm,6.0,37.76,4.0,18.5
2430,Video analysis method of basketball training assistant based on deep learning theory during COVID-19 spread,1.0,34.76,5.0,17.66
2431,Association between China's digital economy and labor education in post-pandemic of COVID-19 based on neural network,6.0,38.6,0.0,17.16
2432,A method of security management of early warning based on mean shift algorithm and data mining,3.0,20.91,1.0,17.86
2433,Research on fault tolerant control system based on optimized neural network algorithm,1.0,42.1,3.0,19.92
2434,Network security model based on active defense and passive defense hybrid strategy,3.0,29.56,1.0,14.53
2435,Health data analysis based on multi-calculation of big data during COVID-19 pandemic,3.0,25.93,5.0,25.81
2436,The limitations of distance education in Spain during the 2020 Covid-19 pandemic,0.0,35.03,6.0,24.6
2437,"Translation, adaptation and initial validation of the food allergy quality of life questionnaire - child form (8 - 12 years) in ukrainan language",6.0,24.56,0.0,19.92
2438,Recommendation rules mining for reducing the spread of COVID-19 cases,4.0,19.82,6.0,17.75
2439,Network modeling of coexistence of virus strains admitting chaotic behavior,4.0,38.24,2.0,17.06
2440,Mathematical model building for COVID-19 diseases data in european countries,4.0,32.11,5.0,20.39
2441,Big Data Analytics in Healthcare Applications: Privacy Implications for Individuals and Groups and Mitigation Strategies,3.0,26.31,5.0,21.98
2442,Mathematical modeling covid-19 wave structure of distribution,4.0,39.8,5.0,19.23
2443,L1000 connectivity map interrogation identifies candidate drugs for repurposing as SARS-CoV-2 antiviral therapies,2.0,50.63,5.0,11.55
2444,Identifying explosive epidemiological cases with unsupervised machine learning,4.0,21.35,2.0,20.45
2445,Analysis on the Application of AI Technology in Online Education Under the Public Epidemic Crisis,0.0,37.02,3.0,17.85
2446,Characterizing COVID-19 misinformation communities using a novel twitter dataset,5.0,31.44,6.0,21.75
2447,Effect Analysis and Method Suggestions of Online Learning Under the Public Epidemic Crisis,0.0,32.29,5.0,15.44
2448,A Novel Machine Learning based Model for COVID-19 Prediction,4.0,31.93,2.0,15.33
2449,A tool for COVID-19 symptom evaluation developed on microsoft Xamarin platform,3.0,27.74,1.0,17.66
2450,Uncovering Topics Related to COVID-19 Pandemic on Twitter,5.0,23.33,4.0,20.49
2451,Building an Online Learning Question Map Through Mining Discussion Content,0.0,40.49,5.0,19.7
2452,COVID-19 Transmission Risks Assessment using Agent-Based Weighted Clustering Approach,2.0,20.74,5.0,20.52
2453,On analyzing the household energy consumption detection for citizen behavioral analysis carbon footprint awareness by deep residual networks,1.0,29.51,5.0,14.44
2454,Profiling Bot Accounts Mentioning COVID-19 Publications on Twitter,5.0,30.03,6.0,21.11
2455,The Ebb and flow of the COVID-19 misinformation themes,6.0,28.3,5.0,24.59
2456,#Democrats are destroying America: Rumour analysis on twitter during COVID-19,5.0,28.82,6.0,17.03
2457,"Challenges in combating COVID-19 infodemic - Data, tools, and ethics",6.0,24.59,3.0,21.26
2458,Frontline Employees’ Display of Fake Smiles and Angry Faces: When and Why They Influence Service Performance,6.0,32.6,5.0,20.03
2459,Academic libraries' response to the COVID-19 pandemic in Nigeria,0.0,39.67,6.0,19.71
2460,Evaluation of Student Core Drives on e-Learning during the Covid-19 with Octalysis Gamification Framework,0.0,41.42,1.0,15.0
2461,Covid-19 Ontology Engineering-Knowledge Modeling of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),5.0,23.2,2.0,16.75
2462,Telepractice as a reaction to the COVID-19 crisis: Insights from croatian slp settings,0.0,25.98,3.0,17.38
2463,A Security Awareness and Protection System for 5G Smart Healthcare Based on Zero-Trust Architecture,3.0,40.67,6.0,15.07
2464,COVID-19 Claims CES 2021,6.0,18.24,5.0,17.65
2465,Telehealth for the provision of occupational therapy: Reflections on experiences during the COVID-19 pandemic,0.0,29.03,3.0,21.33
2466,Empowering Virus Sequence Research Through Conceptual Modeling,2.0,37.17,6.0,15.07
2467,Study on the Dynamic Behavior of a Class of Heterogeneous Network Systems with Time Delay,4.0,40.93,2.0,11.94
2468,Verification and Compliance in Collaborative Processes,6.0,31.38,5.0,19.43
2469,Automatic Criteria Weight Generation for Multi-criteria Decision Making Under Uncertainty,1.0,27.65,5.0,24.55
2470,R&D investment and financing efficiency in Chinese environmental protection enterprises: perspectives of COVID-19 and supply chain financial regulation,6.0,43.25,3.0,12.68
2471,Fluid Model-Checking in UPPAAL for Covid-19,4.0,25.88,5.0,13.73
2472,A hybrid deep learning and NLP based system to predict the spread of Covid-19 and unexpected side effects on people,4.0,31.06,5.0,19.72
2473,An Improved Design of an Adaptive Sliding Mode Controller for Chattering Attenuation and Trajectory Tracking of the Quadcopter UAV,1.0,25.1,3.0,21.18
2474,High-precision thermography based on JMAP inference for human face temperature,1.0,29.31,4.0,20.23
2475,A Three-Way Energy Efficient Authentication Protocol Using Bluetooth Low Energy,3.0,32.08,2.0,16.27
2476,Revisiting the Top Ten Ways that DDDAS Can Save the World with an Update in the BioInfoSciences Area and on the Energy Bridge,0.0,19.78,6.0,18.62
2477,The Use of Android-Based PhET Simulation as an Effort to Improve Students’ Critical Thinking Skills during the Covid-19 Pandemic,0.0,36.56,5.0,16.44
2478,The Construction of Computer-based Application of Working Memory Test for Early Age Children in Indonesia,1.0,25.17,6.0,19.78
2479,Telehealth and home health occupational therapy: Clients’ perceived satisfaction with and perception of occupational performance,0.0,20.93,3.0,20.34
2480,Swarm intelligence for self-organized clustering,5.0,27.32,1.0,24.58
2481,Drr4covid: Learning Automated COVID-19 Infection Segmentation from Digitally Reconstructed Radiographs,1.0,54.51,4.0,11.12
2482,Analysis of the Perception of University Students About the Use of Microsoft OneNote as an Electronic Laboratory Notebook in Response to Non-Face-to-Face Education in Pandemic Times,0.0,37.58,5.0,16.91
2483,IoT as an Alternative Way to Improve the Telemedicine Methods Against COVID-19 in Vulnerable Zones,3.0,41.11,5.0,14.07
2484,Initial response to COVID-19: a mixed-methods analysis of media and school communications to identify pedagogical implications for remote teaching,6.0,31.72,0.0,27.22
2485,Academic support under COVID-19 lockdown: what students think of online support e-tools in an ODeL course,0.0,50.88,6.0,17.94
2486,Adventitious respiratory classification using attentive residual neural networks,1.0,30.29,2.0,18.95
2487,The study on the effect of the internet and mobile-cellular on trade in services: Using the modified gravity model,6.0,33.29,4.0,16.35
2488,Measuring instructors continued intention to reuse Google Classroom in Iraq: a mixed-method study during COVID-19,0.0,37.95,6.0,28.33
2489,Pre-processing and Handling Unbalanced Data in CNN for Improving Automated Detection of COVID-19 Cases: Preliminary Results,1.0,46.38,2.0,12.98
2490,“COVID-19 and students perception about MOOCs” a case of Indian higher educational institutions,0.0,33.93,6.0,23.53
2491,CovidDiagnosis: Deep Diagnosis of COVID-19 Patients Using Chest X-Rays,1.0,42.88,3.0,14.14
2492,Two-Stage Mapping-Segmentation Framework for Delineating COVID-19 Infections from Heterogeneous CT Images,1.0,43.07,2.0,14.85
2493,"Freedom, distribution and work from home: Rereading engels in the time of the COVID-19-pandemic",6.0,31.94,3.0,18.85
2494,Communication Support Utilizing AAC for Verbally Challenged Children in Developing Countries During COVID-19 Pandemic,0.0,29.54,3.0,23.9
2495,COVID-19 Pandemic: A Usability Study on Platforms to Support eLearning,0.0,53.86,6.0,9.59
2496,Methodological support for the management of maintaining financial flows of external tourism in global risky conditions,6.0,31.72,3.0,17.89
2497,A graph-based approach towards risk alerting for covid-19 spread,3.0,33.51,5.0,18.98
2498,Evaluation of Occupant Comfort and Health in Indoor Home-Based Work and Study Environment,0.0,25.03,6.0,22.3
2499,Mobile Data Usage on Online Learning during Covid-19 Pandemic in Higher Education,0.0,24.0,5.0,17.58
2500,"On-line data processing, simulation and forecasting of the coronavirus disease (COVID-19) propagation in Ukraine based on machine learning approach",4.0,31.16,5.0,15.69
2501,Engels@200: Friedrich engels and digital capitalism. how relevant are engels’s works 200 years after his birth?,6.0,38.3,0.0,17.23
2502,Democracy in flux: a systemic view on the impact of COVID-19,6.0,33.77,2.0,14.23
2503,Students' adoption of e-learning in emergency situation: the case of a Vietnamese university during COVID-19,0.0,28.96,6.0,28.28
2504,SARS-CoV2 infectivity is potentially modulated by host redox status,2.0,56.08,6.0,9.7
2505,Approach for training quantum neural network to predict severity of COVID-19 in patients,1.0,37.59,4.0,18.34
2506,Atto-level nanobiophotonic sensing approach using silicon technology,2.0,27.15,3.0,23.71
2507,Analysis and dynamics of fractional order mathematical model of COVID-19 in Nigeria using atangana-baleanu operator,4.0,35.79,2.0,13.16
2508,Where to Next the Impact of COVID-19 on Human-Robot Interaction Research,6.0,28.29,0.0,21.75
2509,An Automated Contact Tracing Approach for Controlling Covid-19 Spread Based on Geolocation Data from Mobile Cellular Networks,3.0,33.51,4.0,18.79
2510,A formally verified authentication protocol in secure framework for mobile healthcare during COVID-19-like pandemic,3.0,43.19,5.0,12.48
2511,Towards Reinforcing Healthcare 4.0: A Green Real-Time IIoT Scheduling and Nesting Architecture for COVID-19 Large-Scale 3D Printing Tasks,3.0,32.33,1.0,18.37
2512,In silico and in vitro studies reveal complement system drives coagulation cascade in SARS-CoV-2 pathogenesis,2.0,60.07,5.0,8.03
2513,Covid-19 Public Opinion Analysis Based on LDA Topic Modeling and Data Visualization,5.0,39.92,4.0,21.13
2514,Automatic detection of COVID-19 using chest X-ray images and modified resnet18-based convolution neural networks,1.0,46.31,5.0,11.03
2515,A hybrid deep learning model for COVID-19 prediction and current status of clinical trials worldwide,4.0,36.86,1.0,18.2
2516,A SEIR Model Optimization Using the Differential Evolution,4.0,35.47,1.0,21.24
2517,Intelligent decision support system for COVID-19 empowered with deep learning,1.0,42.76,6.0,12.59
2518,Chinese herbal compounds against SARS-CoV-2: Puerarin and quercetin impair the binding of viral S-protein to ACE2 receptor,2.0,57.76,5.0,8.23
2519,Failed hybrids: The death and life of Bluetooth proximity marketing,3.0,30.78,6.0,27.01
2520,How can lean manufacturing lead the manufacturing sector during health pandemics such as COVID 19: A multi response optimization framework,3.0,24.08,6.0,22.88
2521,"COVID-19: US shelter-in-place orders and demographic characteristics linked to cases, mortality, and recovery rates",4.0,50.52,6.0,20.1
2522,Social Robots for Socio-Physical Distancing,6.0,23.94,0.0,20.16
2523,Performance estimation of machine learning algorithms in the factor analysis of COVID-19 dataset,4.0,29.14,1.0,24.4
2524,An Explainable System for Diagnosis and Prognosis of COVID-19,1.0,24.48,3.0,20.11
2525,Emotion-Aware and Intelligent Internet of Medical Things towards Emotion Recognition during COVID-19 Pandemic,3.0,33.12,5.0,20.36
2526,"Is social distancing, and quarantine effective in restricting COVID-19 outbreak? Statistical evidences from Wuhan, China",4.0,42.88,2.0,20.36
2527,Unlink the link between COVID-19 and 5G Networks: an NLP and SNA based Approach,5.0,33.81,6.0,22.45
2528,A Two-Dimensional Sparse Matrix Profile DenseNet for COVID-19 Diagnosis Using Chest CT Images,1.0,63.85,4.0,10.28
2529,"IoT technologies for tackling COVID-19 in Malaysia and worldwide: Challenges, recommendations, and proposed framework",3.0,32.58,6.0,16.96
2530,Fuzzy based decision making approach for evaluating the severity of COVID-19 pandemic in cities of Kingdom of Saudi Arabia,4.0,37.85,6.0,16.02
2531,Extended Enterprise Collaboration for System-of-Systems Requirements Engineering: Challenges in the Era of COVID-19,6.0,28.63,0.0,21.61
2532,Online teaching challenges during COVID-19 pandemic,0.0,34.24,4.0,21.8
2533,A Weakly Supervised Deep Learning Framework for COVID-19 CT Detection and Analysis,1.0,35.98,4.0,13.18
2534,Human-Centered Artificial Intelligence: Antecedents of Trust for the Usage of Voice Biometrics for Driving Contactless Interactions,6.0,28.42,3.0,22.82
2535,Importance of Interaction Structure and Stochasticity for Epidemic Spreading: A COVID-19 Case Study,4.0,37.12,2.0,21.04
2536,Regulation in the COVID-19 pandemic and post-pandemic times: day-watchman tackling the novel coronavirus,6.0,30.06,2.0,17.55
2537,Modeling Trust in Enterprise Architecture: A Pattern Language for ArchiMate,6.0,26.96,5.0,19.94
2538,Innovation under pressure: Implications for data privacy during the Covid-19 pandemic,6.0,34.49,3.0,23.09
2539,Novel Cluster Analytics for Analyzing COVID-19 Patient Medical Data,5.0,30.01,2.0,13.72
2540,Integrated Mathematical Model of Self-Organization of Functional Systems of Organism for Simulation of Viral Diseases,4.0,26.52,2.0,26.14
2541,Answer set programming in healthcare: Extended overview,3.0,28.75,2.0,18.1
2542,Population data mobility retrieval at territory of Czechia in pandemic COVID-19 period,5.0,23.75,4.0,16.58
2543,Whole community co-production: a full picture behind the successful COVID-19 response in S. Korea,6.0,37.44,5.0,15.29
2544,Multi-criteria spherical fuzzy regret based evaluation of healthcare equipment stocks,3.0,23.98,6.0,18.06
2545,COVID-19 prediction and symptom analysis using wearable sensors and IoT,3.0,30.05,6.0,16.11
2546,Digital readiness and its effects on higher education students’ socio-emotional perceptions in the context of the COVID-19 pandemic,0.0,36.03,6.0,23.48
2547,Smartphone-based electrochemical sensor for assessing COVID-19 infected patients,3.0,33.34,2.0,16.21
2548,The presumed influence of digital misinformation: examining US public’s support for governmental restrictions versus corrective action in the COVID-19 pandemic,6.0,45.19,0.0,12.71
